,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
107,2022-06-07,146.71494,123.0,194.90547,267.3145,115.04,147.00104,124.1,195.78214,267.93253,115.32,142.16678,120.63,190.7613,260.87936,109.05,142.41342,122.01,191.19963,261.56604,110.5,67808200.0,85156700.0,18828700.0,22860700.0,3951900.0
108,2022-06-08,145.975,121.18,195.89172,265.26425,115.46,147.85938,123.75,201.26122,267.80496,116.9,145.48172,120.75,193.67021,264.47946,113.16,146.58669,122.61,193.92921,266.5395,115.4,53950200.0,64926600.0,22267200.0,17372300.0,3583900.0
109,2022-06-09,140.72638,116.15,183.2998,259.75125,110.4,145.96513,121.3,198.69101,267.5205,116.17,140.61786,116.1,182.98102,259.5943,110.34,145.10681,119.99,193.54068,262.68436,112.17,69473000.0,67029800.0,23501600.0,26439700.0,4302600.0
110,2022-06-10,135.29031,109.65,174.90189,248.17577,109.07,138.8716,114.5,182.40323,255.6213,110.99,135.22125,109.05,174.35397,247.72452,106.12,138.39804,113.42,182.34344,255.6213,106.934,91437900.0,87266000.0,27450800.0,31422800.0,5768900.0
111,2022-06-13,130.11073,103.67,163.63492,237.64993,103.32,133.38618,106.54,171.92326,244.28131,106.38,129.67664,101.86,163.40579,236.93382,102.12,131.08745,104.19,169.94083,240.44571,102.82,122207100.0,99277700.0,31749300.0,46135800.0,7183900.0
112,2022-06-14,130.97893,102.31,163.10693,239.83751,106.86,132.09377,104.88,166.11545,241.06372,109.85,129.7161,101.43,160.74596,236.9142,103.78,131.34398,104.19,165.39818,239.2195,103.9,84784300.0,69728800.0,27244300.0,28651500.0,6815000.0
113,2022-06-15,133.61307,107.67,168.70557,246.96916,112.93,135.49745,109.06,171.50487,250.4418,114.73,130.38695,103.53,163.35599,241.73079,106.13,132.48836,103.86,166.56374,243.58482,107.5,91533000.0,85011100.0,30008300.0,33111700.0,5954500.0
114,2022-06-16,128.31511,103.66,160.25783,240.30838,106.09,130.61385,104.58,164.45181,242.71176,109.65,127.30879,102.01,159.00262,238.3955,104.15,130.30801,104.47,163.09698,241.29915,108.1,108123900.0,82186300.0,26944100.0,33169200.0,4714600.0
115,2022-06-17,129.79503,106.22,163.11691,242.93735,110.0,131.29465,106.98,165.26868,245.73312,111.92,128.06851,102.51,159.29152,239.38625,106.393,128.32503,102.8,161.06474,240.04349,107.095,134520300.0,99772100.0,31374200.0,43084800.0,6143400.0
116,2022-06-21,134.0472,108.68,156.45236,248.91147,113.82,135.22124,111.63,167.1216,249.90224,117.37,131.53142,103.56,155.37646,244.76195,110.86,131.63007,108.2,165.29855,245.49768,112.15,81000500.0,70901200.0,50724900.0,29928300.0,6176200.0
117,2022-06-22,133.53416,108.95,155.25693,248.3131,115.17,135.91182,112.13,160.17812,252.27623,119.53,132.11348,107.02,154.84848,245.6056,111.77,132.98166,107.43,157.7773,247.09668,112.03,73409200.0,60040100.0,47267800.0,25939900.0,5481800.0
118,2022-06-23,136.415,112.44,158.14589,253.934,117.67,136.7307,113.0,159.14209,254.43431,118.4,133.81041,107.93,153.66301,248.80354,110.67,134.98445,110.39,155.67532,250.70663,116.24,72433800.0,64345300.0,40499200.0,25861400.0,5464400.0
119,2022-06-24,139.7595,116.46,169.51248,262.6059,122.64,140.00615,116.71,169.60214,262.88055,122.99,137.89487,111.43,160.6862,256.7397,118.12,138.0231,112.38,161.11455,256.82797,118.81,89116800.0,69867600.0,68736000.0,33923200.0,12212800.0
120,2022-06-27,139.7595,113.22,168.84502,259.8493,119.82,141.56496,117.98,171.0964,263.1944,123.73,139.07877,112.7,167.37064,258.26993,117.68,140.78555,117.09,170.66806,263.1061,122.48,70207900.0,62133200.0,29174600.0,24615100.0,3457200.0
121,2022-06-28,135.59615,107.4,160.06854,251.59932,113.13,141.49591,114.85,170.64813,261.83084,122.085,135.47777,107.04,159.99881,251.44237,112.86,140.22322,113.5,169.25346,258.9566,119.82,67083400.0,74942900.0,27744500.0,27295500.0,3692500.0
122,2022-06-29,137.36212,108.92,163.31613,255.30739,111.87,138.7828,110.99,165.69704,256.98483,113.72,134.83647,106.91,159.70992,250.893,110.04,135.61588,107.38,162.94754,252.68819,112.93,66242400.0,66375300.0,28595200.0,20069800.0,2711800.0
123,2022-06-30,134.8858,106.21,160.63637,251.94269,107.97,136.51366,108.18,164.60121,254.59132,111.0,131.97539,102.52,157.88687,248.08748,104.78,135.40869,108.11,161.53294,252.15851,110.0,98964500.0,97679400.0,35250600.0,31730900.0,4249600.0
124,2022-07-01,137.06615,109.56,159.42102,254.64034,110.97,137.17467,109.75,160.00877,254.82672,111.979,133.84003,105.85,154.41016,249.76492,106.83,134.21492,106.29,159.69995,251.51106,108.77,71051600.0,73021200.0,31423900.0,22837700.0,2800300.0
125,2022-07-05,139.66084,113.5,167.54996,257.8481,120.42,139.71017,114.08,167.60973,257.97565,120.75,135.09296,106.32,156.42247,249.89244,108.41,135.92169,107.6,157.5382,251.28542,110.56,73353800.0,76583700.0,28618600.0,22941000.0,5310000.0
126,2022-07-06,141.00261,114.33,169.12396,261.14417,117.06,142.18651,115.48,170.93703,262.8903,123.96,139.1873,112.01,164.83037,257.40668,116.57,139.45367,113.21,167.55994,258.731,120.68,74064300.0,66958900.0,23085900.0,23824400.0,4198100.0
127,2022-07-07,144.38661,116.33,171.53476,263.29245,120.74,144.58392,116.99,172.06274,263.93988,121.26,141.35779,113.49,167.14154,259.97678,116.33,141.36765,113.85,168.80518,260.07486,116.5,66253700.0,57872300.0,24083400.0,20859900.0,3036600.0
128,2022-07-08,145.06732,115.54,170.22974,262.5666,119.8,145.5705,116.58,171.74394,262.99823,124.05,143.0547,113.69,167.51012,258.27975,117.66,143.3112,114.6,169.33315,259.75122,118.62,64547800.0,45719700.0,19249200.0,19658800.0,3261700.0
129,2022-07-11,142.92642,111.75,162.26016,259.4765,108.38,144.67268,114.3,166.85262,261.45804,117.54,141.85104,110.87,161.29385,257.19083,107.73,143.7157,114.08,166.43422,260.5948,117.16,63141600.0,53487600.0,21885600.0,19455200.0,5461800.0
130,2022-07-12,143.90315,109.22,162.6487,248.84279,107.99,146.4584,113.23,165.27866,260.8793,113.6,143.10402,108.34,161.48315,247.2438,106.91,143.80449,112.16,164.17287,260.82043,109.79,77588800.0,54280300.0,16639700.0,35868500.0,4205100.0
131,2022-07-13,143.53816,110.4,162.86786,247.9109,101.01,144.48528,111.78,164.35217,248.72511,105.4,140.21336,106.01,159.00262,243.38863,99.8,141.0717,107.03,159.55052,245.42905,103.635,71185600.0,61353800.0,16555100.0,29497400.0,7903000.0
